source_id	source_path	offset	text	current_target	verdict	proposed_target	rationale
8-1154-a-1-B-ii-I	title8.sections[1154].body[0/0/1/1/0]	222	(iii)	usc:8:1153/a/2/A/iii	invalid-source-citation	UNRESOLVED: usc:8:1153/a/2/A/iii is absent from the current Title 8 hierarchy	The source expressly names clause (iii) of §1153(a)(2)(A), but that clause is absent from the current hierarchy; it must not be presented as a valid local target.
8-1367-d	title8.sections[1367].body[3]	518	8 U.S.C. 1101(a)(15)(u)	usc:8:1101/a/15/u	incorrect-target	usc:8:1101/a/15/U [local]	The statutory parallel citation is 8 U.S.C. §1101(a)(15)(U); the generated lowercase path is not the canonical statutory unit.
8-1160-c-2-B-ii-I	title8.sections[1160].body[2/1/1/1/0]	11	(2)(A)	usc:8:1160/c/2/A	incorrect-target	usc:8:1182/a/2/A [local]	This sentence refers to paragraph (2)(A) of §1182(a), not the current §1160(c)(2)(B)(ii) container.
8-1160-c-2-B-ii-III	title8.sections[1160].body[2/1/1/1/2]	10	(2)(C)	usc:8:1160/c/2/C	incorrect-target	usc:8:1182/a/2/C [local]	This sentence refers to paragraph (2)(C) of §1182(a), not the current §1160(c)(2)(B)(ii) container.
8-1254a-c-2-A-iii-I	title8.sections[1254a].body[2/1/0/2/0]	22	(2)(B)	usc:8:1254a/c/2/B	incorrect-target	usc:8:1182/a/2/B [local]	The run-in identifies paragraph (2)(B) of §1182(a), not paragraph (2)(B) of current §1254a(c)(2)(A)(iii).
8-1255a-d-2-B-ii-I	title8.sections[1255a].body[3/1/1/1/0]	11	(2)(A)	usc:8:1255a/d/2/A	incorrect-target	usc:8:1182/a/2/A [local]	The sentence identifies paragraph (2)(A) of §1182(a), not the current §1255a(d)(2)(B)(ii) container.
8-1255a-d-2-B-ii-II	title8.sections[1255a].body[3/1/1/1/1]	10	(2)(C)	usc:8:1255a/d/2/C	incorrect-target	usc:8:1182/a/2/C [local]	The sentence identifies paragraph (2)(C) of §1182(a), not the current §1255a(d)(2)(B)(ii) container.
8-1153-b-2-B-ii-IV	title8.sections[1153].body[1/1/1/1/3]	114	(b)(2)(B)	usc:8:1153/b/b/2/B	incorrect-target	usc:8:1153/b/2/B [local]	“Subsection (b)(2)(B)” is a self-reference to §1153(b)(2)(B); the resolver duplicated the subsection label and incorrectly marked the target official-only.
8-1153-b-3-C	title8.sections[1153].body[1/2/2]	71	(A)	usc:8:1182/a/5/A/A	incorrect-target	usc:8:1153/b/3/A [local]	“Under subparagraph (A)” refers to the current §1153(b)(3)(C) subparagraph; the later §1182(a)(5)(A) citation must not be inherited into this occurrence.
8-1182-e	title8.sections[1182].body[4]	2458	(iii)	usc:8:1184/l/iii	incorrect-target	usc:8:1182/e/iii [local]	“Alien described in clause (iii)” refers to clause (iii) of current §1182(e); the later §1184(l) citation is a separate authority.
8-1160-c-2-B-i	title8.sections[1160].body[2/1/1/0]	29	(ii)	usc:8:1182/a/ii	incorrect-target	usc:8:1160/c/2/B/ii [local]	“Except as provided in clause (ii)” refers to the sibling clause of current §1160(c)(2)(B), not nonexistent clause (ii) under §1182(a).
8-1182-n-2-H-i	title8.sections[1182].body[13/1/7/0]	30	(ii)	usc:8:1182/n/ii	incorrect-target	usc:8:1182/n/2/H/ii [local]	The sentence’s clause (ii) is within current §1182(n)(2)(H), not directly under subsection (n).
8-1182-n-2-H-i	title8.sections[1182].body[13/1/7/0]	39	(iii)	usc:8:1182/n/iii	incorrect-target	usc:8:1182/n/2/H/iii [local]	The sentence’s clause (iii) is within current §1182(n)(2)(H), not directly under subsection (n).
8-1182-n-2-H-iv	title8.sections[1182].body[13/1/7/3]	8	(i)	usc:8:1182/n/i	incorrect-target	usc:8:1182/n/2/H/i [local]	“Clauses (i) and (iii)” are the clauses of current §1182(n)(2)(H), not direct children of subsection (n).
8-1182-n-2-H-iv	title8.sections[1182].body[13/1/7/3]	16	(iii)	usc:8:1182/n/iii	incorrect-target	usc:8:1182/n/2/H/iii [local]	“Clauses (i) and (iii)” are the clauses of current §1182(n)(2)(H), not direct children of subsection (n).
8-1254a-c-2-A-ii	title8.sections[1254a].body[2/1/0/1]	29	(iii)	usc:8:1182/a/iii	incorrect-target	usc:8:1254a/c/2/A/iii [local]	“Except as provided in clause (iii)” refers to the sibling clause of current §1254a(c)(2)(A), not §1182(a)(iii).
8-1255a-d-2-B-i	title8.sections[1255a].body[3/1/1/0]	29	(ii)	usc:8:1182/a/ii	incorrect-target	usc:8:1255a/d/2/B/ii [local]	“Except as provided in clause (ii)” refers to the sibling clause of current §1255a(d)(2)(B), not §1182(a)(ii).
