source_id	source_path	offset	text	current_target	verdict	proposed_target	rationale
8-1409-note-7	title8.sections[229].notes[6]	1170	309(a)	USC 8:1409/a (local)	incorrect	USC 8:1409/a (official-source-only historical version)	The same note identifies “new section 309(a)” as 8 U.S.C. §1409(a); the “old section 309(a)” citation should retain that codified authority with historical-version context, not a current-version local link.
8-1101-note-17	title8.sections[66].notes[16]	7332	244(a)	USC 8:1254a/a (local)	incorrect	USC 8:1254/a (official-source-only historical version)	The surrounding text expressly cites former 8 U.S.C. 1254(a) for INA section 244(a); the generated 8 U.S.C. 1254a target is the distinct section 244A codification.
8-1101-note-17	title8.sections[66].notes[16]	10241	244(a)(3)	USC 8:1254a/a/3 (local)	incorrect	USC 8:1254/a/3 (official-source-only historical version)	The surrounding text expressly cites former 8 U.S.C. 1254(a)(3) for INA section 244(a)(3); the generated 8 U.S.C. 1254a path is the distinct section 244A codification.
8-1101-note-64	title8.sections[66].notes[63]	2461	404(b)(2)	UNKNOWN Nationality Act:404/b/2 (official-source-only)	incorrect	Immigration and Nationality Act §404(b)(2), official historical-act source	“Such Act” expressly refers to the Immigration and Nationality Act identified immediately before; the generated shortened “Nationality Act” authority is not the stated Act identity.
8-1153-note-18	title8.sections[77].notes[17]	1140	203(b)(5)(E)	UNKNOWN Nationality Act:203/b/5/E (official-source-only)	incorrect	USC 8:1153/b/5/E (local)	The same note expressly gives 8 U.S.C. 1153(b)(5) for INA section 203(b)(5), so this subdivision should follow that codification rather than an unknown Act search.
8-1157-note-12	title8.sections[82].notes[11]	22258	4(1)	UNKNOWN Office of Federal Procurement Policy Act:4/1 (official-source-only)	incorrect	USC 41:133 (official-source-only)	The text supplies former 41 U.S.C. 403(1) and now 41 U.S.C. 133; the generated named-Act search omits the explicit current cross-title authority.
8-1182-note-3	title8.sections[88].notes[2]	366	3(a)	UNKNOWN Torture Victim Protection Act of 1991:3/a (official-source-only)	incorrect	Public Law 102-256 §3(a), official source	The note expressly identifies section 3(a) as section 3(a) of Public Law 102-256; a generic named-Act search loses that exact authority.
8-1182-note-14	title8.sections[88].notes[13]	2128	212(a)(3)(B)(vi)(II)	UNKNOWN Nationality Act:212/a/3/B/vi/II (official-source-only)	incorrect	USC 8:1182/a/3/B/vi/II (local)	The surrounding sentence identifies the Immigration and Nationality Act and supplies the current 8 U.S.C. 1182 codification for the adjacent terrorism provisions.
8-1186b-note-10	title8.sections[100].notes[9]	5038	610(c)	UNKNOWN Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriations Act, 1993:610/c (official-source-only)	incorrect	USC 8:1153 note (official-source-only)	The citation itself gives the codification “8 U.S.C. 1153 note”; the generated named-Act search omits that explicit note authority.
8-1189-note-2	title8.sections[104].notes[1]	26	1(a)	UNKNOWN Classified Information Procedures Act:1/a (official-source-only)	incorrect	Public Law 96-456 §1(a), official source	The References in Text note expressly identifies section 1(a) as section 1(a) of Public Law 96-456.
8-1227-note-2	title8.sections[119].notes[1]	1667	36(a)	UNKNOWN The Alien Registration Act:36/a (official-source-only)	incorrect	Statutes at Large 54:670, §36(a), official historical source	The note supplies the exact act date, chapter, Statutes at Large volume and page, and section; the generic named-Act target loses that precise historical authority.
8-1364-note-8	title8.sections[193].notes[7]	1360	402(3)(A)	UNKNOWN Reform Act:402/3/A (official-source-only)	incorrect	Public Law 99-603 §402(3)(A), official source	The note identifies the Reform Act as title IV of Public Law 99-603 and supplies the section’s 8 U.S.C. note codifications; the generic short-name search omits the exact Public Law.
