source_id	source_path	offset	text	current_target	verdict	proposed_target	rationale
8-1449-note-6	title8.sections[265].notes[5]	127	(1)	USC 8:305/j/1 (official-source-only)	incorrect	Public Law 102-232 §305(j)(1), official source	The text says section 305(j) of “such Act” and identifies Pub. L. 102-232; this is not current Title 8 section 305.
8-1534-note-3	title8.sections[294].notes[2]	554	(c)	USC 8:1105a/c (official-source-only)	incorrect	USC 50:1806/c (official-source-only)	Section 106 of the Foreign Intelligence Surveillance Act is a historical Act section, codified at 50 U.S.C. 1806; the generated Title 8 section 106 target is wrong.
8-1534-note-3	title8.sections[294].notes[2]	559	(e)	USC 8:1105a/e (official-source-only)	incorrect	USC 50:1806/e (official-source-only)	Section 106 of the Foreign Intelligence Surveillance Act is a historical Act section, codified at 50 U.S.C. 1806; the generated Title 8 section 106 target is wrong.
8-1534-note-3	title8.sections[294].notes[2]	564	(f)	USC 8:1105a/f (official-source-only)	incorrect	USC 50:1806/f (official-source-only)	Section 106 of the Foreign Intelligence Surveillance Act is a historical Act section, codified at 50 U.S.C. 1806; the generated Title 8 section 106 target is wrong.
8-1534-note-3	title8.sections[294].notes[2]	569	(g)	USC 8:1105a/g (official-source-only)	incorrect	USC 50:1806/g (official-source-only)	Section 106 of the Foreign Intelligence Surveillance Act is a historical Act section, codified at 50 U.S.C. 1806; the generated Title 8 section 106 target is wrong.
8-1534-note-3	title8.sections[294].notes[2]	578	(h)	USC 8:1105a/h (official-source-only)	incorrect	USC 50:1806/h (official-source-only)	Section 106 of the Foreign Intelligence Surveillance Act is a historical Act section, codified at 50 U.S.C. 1806; the generated Title 8 section 106 target is wrong.
8-1101-note-21	title8.sections[66].notes[20]	568	210(a)	UNKNOWN Department of Justice Appropriations Act:210/a (official-source-only)	incorrect	Public Law 100-459, title II, §210(a), official source	The surrounding citation expressly identifies title II of Public Law 100-459; a named-Act search target loses the stated Public Law authority.
8-1101-note-74	title8.sections[66].notes[73]	319	602(b)(2)	USC 8:1101/b/2 (local)	incorrect	Public Law 111-8, division F, title VI, §602(b)(2), official source	The citation supplies Pub. L. 111-8, division F, title VI; the generated generic named-Act search is not the exact authority.
8-1101-note-80	title8.sections[66].notes[79]	16224	1244(b)	USC 8:1157/b (local)	incorrect	Public Law 110-181 §1244(b), official source	The citation identifies Public Law 110-181; the generated target omits that Public Law identity.
8-1101-note-81	title8.sections[66].notes[80]	6977	1059(e)	USC 8:1101/e (local)	incorrect	Public Law 109-163 §1059(e), official source	The citation identifies Pub. L. 109-163; the generated generic named-Act search is not the exact authority.
8-1101-note-96	title8.sections[66].notes[95]	5316	(e)	UNKNOWN Immigration Reform and Control Act of 1986:304/e (official-source-only)	incorrect	Public Law 99-603 §304(e), official source	The citation identifies Pub. L. 99-603; the generated named-Act search omits the exact Public Law target.
8-1101-note-96	title8.sections[66].notes[95]	5328	(g)	UNKNOWN Immigration Reform and Control Act of 1986:304/g (official-source-only)	incorrect	Public Law 99-603 §304(g), official source	The citation identifies Pub. L. 99-603; the generated named-Act search omits the exact Public Law target.
8-1101-note-107	title8.sections[66].notes[106]	311	(c)	UNKNOWN Foreign Operations, Export Financing, and Related Programs Appropriations Act:584/c (official-source-only)	incorrect	Public Law 101-513, title II, §584(c), official source	The citation identifies Pub. L. 101-513, title II; the generated generic named-Act search omits that authority.
8-1153-note-27	title8.sections[77].notes[26]	3573	101(a)(44)(A)	UNKNOWN Immigration and Nationality Act, as added by section 123 of this Act:101/a/44/A (official-source-only)	incorrect	USC 8:1101/a/44/A (local)	The same note maps INA section 101(a)(44)(B) to 8 U.S.C. 1101(a)(44)(B), and this adjacent INA section has the same codification; the generated title string prevents the INA crosswalk.
8-1154-note-11	title8.sections[79].notes[10]	54	302(e)(4)	USC 8:1101/e/4 (official-source-only)	incorrect	Public Law 102-232 §302(e)(4), official source	The citation expressly names Pub. L. 102-232; the generated target is an imprecise generic Act search.
8-1154-note-11	title8.sections[79].notes[10]	65	(5)	USC 8:1101/e/5 (official-source-only)	incorrect	Public Law 102-232 §302(e)(5), official source	The citation expressly names Pub. L. 102-232; the generated target is an imprecise generic Act search.
8-1154-note-11	title8.sections[79].notes[10]	73	308(b)	USC 8:1101/b (local)	incorrect	Public Law 102-232 §308(b), official source	The citation expressly names Pub. L. 102-232; the generated target is an imprecise generic Act search.
8-1159-note-10	title8.sections[84].notes[9]	1262	209(b)	UNKNOWN Immigration and Nationality Act as of the date of the enactment of this Act:209/b (official-source-only)	incorrect	USC 8:1159/b (local)	The note’s immediately adjacent references identify INA §209(b) as 8 U.S.C. 1159(b); the anaphoric title text should use that INA/USC crosswalk.
8-1182-note-14	title8.sections[88].notes[13]	903	237(a)(4)(B)	UNKNOWN Immigration and Nationality Act, as amended by this Act:237/a/4/B (official-source-only)	incorrect	USC 8:1227/a/4/B (local)	The same sentence supplies [8 U.S.C. 1182(a)(3)(B), 1227(a)(4)(B)]; this adjacent INA §237 citation must resolve to 8 U.S.C. §1227.
