source_id	source_path	offset	text	current_target	verdict	proposed_target	rationale
cfr-20:416.1165	cfr.records[20:416.1165].blocks[33]	180	(e)(3)	none (no generated link)	missing-link	usc:42:1396a/e/3 (official-source-only)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-20:416.1202	cfr.records[20:416.1202].blocks[10]	176	(e)(3)	none (no generated link)	missing-link	usc:42:1396a/e/3 (official-source-only)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-20:416.1329	cfr.records[20:416.1329].blocks[0]	90	(a)(1)(B)	none (no generated link)	missing-link	usc:42:1382c/a/1/B (official-source-only)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-20:416.1503	cfr.records[20:416.1503].blocks[12]	50	(a)(8)	none (no generated link)	missing-link	usc:42:1383/a/8 (official-source-only)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-20:416.1528	cfr.records[20:416.1528].blocks[1]	237	(d)(2)	none (no generated link)	missing-link	usc:42:1383/d/2 (official-source-only)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-20:416.1801	cfr.records[20:416.1801].blocks[9]	229	(e)(1) (E)	none (no generated link)	missing-link	usc:42:1382/e/1/E (official-source-only)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-20:416.2201	cfr.records[20:416.2201].blocks[2]	151	(a)(6)	none (no generated link)	missing-link	usc:42:1383/a/6 (official-source-only)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-20:416.2203	cfr.records[20:416.2203].blocks[3]	54	(a)(2)	none (no generated link)	missing-link	usc:42:1382c/a/2 (official-source-only)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-20:416.2203	cfr.records[20:416.2203].blocks[5]	56	(a)(3)	none (no generated link)	missing-link	usc:42:1382c/a/3 (official-source-only)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-20:416.2212	cfr.records[20:416.2212].blocks[0]	12	(a)(6)	none (no generated link)	missing-link	usc:42:1383/a/6 (official-source-only)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-20:416.2215	cfr.records[20:416.2215].blocks[3]	124	(a)(6)	none (no generated link)	missing-link	usc:42:1383/a/6 (official-source-only)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-20:416.581	cfr.records[20:416.581].blocks[6]	90	(b)(1)(B)	none (no generated link)	missing-link	usc:42:1383/b/1/B (official-source-only)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-20:416.582	cfr.records[20:416.582].blocks[1]	482	(b)(1)(B)	none (no generated link)	missing-link	usc:42:1383/b/1/B (official-source-only)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-20:416.665	cfr.records[20:416.665].blocks[4]	85	(a)(3)	none (no generated link)	missing-link	usc:42:1382c/a/3 (official-source-only)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-20:416.903b	cfr.records[20:416.903b].blocks[19]	205	(d)(5)(C)(i)	none (no generated link)	missing-link	ina:8:423/d/5/C/i (local)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-20:416.903b	cfr.records[20:416.903b].blocks[4]	121	(d)(5)(C)(i)	none (no generated link)	missing-link	ina:8:423/d/5/C/i (local)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-20:416.903b	cfr.records[20:416.903b].blocks[8]	71	(d)(5)(C)(i)	none (no generated link)	missing-link	ina:8:423/d/5/C/i (local)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-22:40.11	cfr.records[22:40.11].blocks[2]	89	(a)(1)(A)(ii)	none (no generated link)	missing-link	ina:8:1182/a/1/A/ii (local)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-22:40.301	cfr.records[22:40.301].blocks[7]	610	(a)(3)(A)(i)(I)	none (no generated link)	missing-link	ina:8:1182/a/3/A/i/I (local)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-22:40.301	cfr.records[22:40.301].blocks[7]	627	(3)(A)(ii)	none (no generated link)	missing-link	ina:8:1182/a/3/A/ii (local)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-22:40.301	cfr.records[22:40.301].blocks[7]	639	(3)(A)(iii)	none (no generated link)	missing-link	ina:8:1182/a/3/A/iii (local)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-22:40.301	cfr.records[22:40.301].blocks[7]	652	(3)(C)	none (no generated link)	missing-link	ina:8:1182/a/3/C (local)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-22:40.301	cfr.records[22:40.301].blocks[7]	660	(3)(E)(i)	none (no generated link)	missing-link	ina:8:1182/a/3/E/i (local)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-22:40.301	cfr.records[22:40.301].blocks[7]	675	(3)(E)(ii)	none (no generated link)	missing-link	ina:8:1182/a/3/E/ii (local)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-22:41.24	cfr.records[22:41.24].blocks[6]	205	(a)(15)(G)	none (no generated link)	missing-link	ina:8:1101/a/15/G (local)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-28:68.7	cfr.records[28:68.7].blocks[10]	355	(b)(1)	none (no generated link)	missing-link	ina:8:1324b/b/1 (local)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-8:1003.18	cfr.records[8:1003.18].blocks[1]	678	(b)(5)	none (no generated link)	missing-link	ina:8:1229a/b/5 (local)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-8:1003.23	cfr.records[8:1003.23].blocks[10]	463	(b)(5)	none (no generated link)	missing-link	ina:8:1229a/b/5 (local)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-8:101.5	cfr.records[8:101.5].blocks[2]	108	(ii)	ina:8:1101/a/27/I/i/II	incorrect	ina:8:1101/a/27/I/ii (local)	In “sections 101(a)(27)(I) (i), (ii), and (iii)”, (ii) inherits I and is INA 101(a)(27)(I)(ii), not i/II.
cfr-8:101.5	cfr.records[8:101.5].blocks[4]	51	(a)(27)(I) (i)	none (no generated link)	missing-link	ina:8:1101/a/27/I/i (local)	The maintenance paragraph expressly cites INA 101(a)(27)(I)(i), (ii), and (iii); this occurrence is unlinked while the paired statutory list in the adjacent paragraph is linked.
cfr-8:101.5	cfr.records[8:101.5].blocks[4]	71	(ii)	none (no generated link)	missing-link	ina:8:1101/a/27/I/ii (local)	The maintenance paragraph expressly cites INA 101(a)(27)(I)(i), (ii), and (iii); this occurrence is unlinked while the paired statutory list in the adjacent paragraph is linked.
cfr-8:101.5	cfr.records[8:101.5].blocks[4]	249	(a)(27)(I)(iii)	none (no generated link)	missing-link	ina:8:1101/a/27/I/iii (local)	The maintenance paragraph expressly cites INA 101(a)(27)(I)(i), (ii), and (iii); this occurrence is unlinked while the paired statutory list in the adjacent paragraph is linked.
cfr-8:1101.5	cfr.records[8:1101.5].blocks[2]	108	(ii)	ina:8:1101/a/27/I/i/II	incorrect	ina:8:1101/a/27/I/ii (local)	In “sections 101(a)(27)(I) (i), (ii), and (iii)”, (ii) inherits I and is INA 101(a)(27)(I)(ii), not i/II.
cfr-8:1101.5	cfr.records[8:1101.5].blocks[4]	51	(a)(27)(I) (i)	none (no generated link)	missing-link	ina:8:1101/a/27/I/i (local)	The maintenance paragraph expressly cites INA 101(a)(27)(I)(i), (ii), and (iii); this occurrence is unlinked while the paired statutory list in the adjacent paragraph is linked.
cfr-8:1101.5	cfr.records[8:1101.5].blocks[4]	71	(ii)	none (no generated link)	missing-link	ina:8:1101/a/27/I/ii (local)	The maintenance paragraph expressly cites INA 101(a)(27)(I)(i), (ii), and (iii); this occurrence is unlinked while the paired statutory list in the adjacent paragraph is linked.
cfr-8:1101.5	cfr.records[8:1101.5].blocks[4]	249	(a)(27)(I)(iii)	none (no generated link)	missing-link	ina:8:1101/a/27/I/iii (local)	The maintenance paragraph expressly cites INA 101(a)(27)(I)(i), (ii), and (iii); this occurrence is unlinked while the paired statutory list in the adjacent paragraph is linked.
cfr-8:1205.1	cfr.records[8:1205.1].blocks[18]	425	(a)(3)	none (no generated link)	missing-link	ina:8:1153/a/3 (local)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-8:1212.2	cfr.records[8:1212.2].blocks[3]	160	(a)(15)(K)	none (no generated link)	missing-link	ina:8:1101/a/15/K (local)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-8:1212.4	cfr.records[8:1212.4]	61	(d)(1)	none (no generated link)	missing-link	ina:8:1182/d/1 (local)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-8:1212.4	cfr.records[8:1212.4]	75	(d)(3)	none (no generated link)	missing-link	ina:8:1182/d/3 (local)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
cfr-8:1212.4	cfr.records[8:1212.4].blocks[0]	34	(d)(3)(A)	none (no generated link)	missing-link	ina:8:1182/d/3/A (local)	Explicit statutory citation in displayed source text; frozen candidate is unlinked with no overlapping generated target.
