source_id	source_path	offset	text	current_target	verdict	proposed_target	rationale
usc-1255a-h-3-B-i-135-named-authority-continuation-failed-0	title8/1255a/h/3/B/i:text	135	section 1902(a)(10) of such Act	none (no generated link)	missing	42 U.S.C. §1396a(a)(10)	The immediately preceding title XIX reference identifies the Social Security Act; the bracketed parallel citations to subparagraphs (B) and (C) confirm section 1902(a)(10).
usc-1255a-h-3-B-i-II-22-named-authority-continuation-failed-0	title8/1255a/h/3/B/i/II:text	22	section 1916(a)(2)(B) of such Act	none (no generated link)	missing	42 U.S.C. §1396o(a)(2)(B)	“Such Act” continues the Social Security Act named in the surrounding subsection, and section 1916(a)(2)(B) has the stated 42 U.S.C. codification.
usc-1424-a-34-named-authority-continuation-failed-0	title8/1424/a:text	34	section 405(b) of this Act	none (no generated link)	missing	Act of June 27, 1952, ch. 477, title IV, §405(b), 66 Stat. 280	The official References in Text identifies “this Act” as the Immigration and Nationality Act provision in the June 27, 1952 Act, set out as a savings-clause note under §1101.
usc-1611-b-1-A-236-named-authority-continuation-failed-0	title8/1611/b/1/A:text	236	section 1903(v)(3) of such Act	none (no generated link)	missing	42 U.S.C. §1396b(v)(3)	The surrounding title XIX Social Security Act reference and the bracketed 42 U.S.C. parallel identify the exact section.
usc-1612-a-2-A-iii-41-named-authority-continuation-failed-0	title8/1612/a/2/A/iii:text	41	section 243(h) of such Act	none (no generated link)	missing	8 U.S.C. §1253(h)	The bracketed parallel citation immediately following the span identifies INA section 243(h) as 8 U.S.C. §1253(h).
usc-1612-a-2-A-iii-191-named-authority-continuation-failed-0	title8/1612/a/2/A/iii:text	191	section 241(b)(3) of such Act	none (no generated link)	missing	8 U.S.C. §1231(b)(3)	The bracketed parallel citation immediately following the span identifies INA section 241(b)(3) as 8 U.S.C. §1231(b)(3).
usc-1612-b-2-A-i-III-41-named-authority-continuation-failed-0	title8/1612/b/2/A/i/III:text	41	section 243(h) of such Act	none (no generated link)	missing	8 U.S.C. §1253(h)	The bracketed parallel citation immediately following the span identifies INA section 243(h) as 8 U.S.C. §1253(h).
usc-1612-b-2-A-i-III-191-named-authority-continuation-failed-0	title8/1612/b/2/A/i/III:text	191	section 241(b)(3) of such Act	none (no generated link)	missing	8 U.S.C. §1231(b)(3)	The bracketed parallel citation immediately following the span identifies INA section 241(b)(3) as 8 U.S.C. §1231(b)(3).
usc-1612-b-2-A-ii-III-41-named-authority-continuation-failed-0	title8/1612/b/2/A/ii/III:text	41	section 243(h) of such Act	none (no generated link)	missing	8 U.S.C. §1253(h)	The bracketed parallel citation immediately following the span identifies INA section 243(h) as 8 U.S.C. §1253(h).
usc-1612-b-2-A-ii-III-191-named-authority-continuation-failed-0	title8/1612/b/2/A/ii/III:text	191	section 241(b)(3) of such Act	none (no generated link)	missing	8 U.S.C. §1231(b)(3)	The bracketed parallel citation immediately following the span identifies INA section 241(b)(3) as 8 U.S.C. §1231(b)(3).
